소재지지번주소,위도,경도
충청남도 아산시 권곡동 95-2,36.788181,
충청남도 아산시 권곡동 448,36.794835,127.004255
충청남도 아산시 실옥동 349,36.79348774,126.9827903
충청남도 아산시 신인동 395-2,36.751974,126.980895
충청남도 아산시 용화동 808,36.77037077,126.9950632
충청남도 아산시 용화동 972,36.777949,127.008691
충청남도 아산시 용화동 506,36.77544182,127.0044835
충청남도 아산시 용화동 1108,36.77681355,127.0085386
충청남도 아산시 용화동 1572,36.77608377,127.006623
충청남도 아산시 용화동 1572,36.77345227,127.0099804
충청남도 아산시 용화동 1061,36.775821,127.007141
충청남도 아산시 용화동 1353,36.772585,127.003083
충청남도 아산시 읍내동 137-11,36.75993426,127.0198789
충청남도 아산시 음봉면 동천리229-12,36.833009,127.010247
충청남도 아산시 음봉면 신휴리318-3,36.88982611,127.0615605
충청남도 아산시 음봉면 덕지리312-13,36.838611,127.072791
충청남도 아산시 음봉면 월랑리169,,127.073802
충청남도 아산시 음봉면 산동리419-1,36.83132566,127.0966422
충청남도 아산시 월랑리 549-8,,127.073802
충청남도 아산시 탕정면 호산리496-6,36.809257,127.078874
충청남도 아산시 탕정면 명암리928-2,36.798325,127.060599
충청남도 아산시 탕정면 명암리941-1,36.797268,127.058539
충청남도 아산시 도고면 시전리220,36.74682447,126.8988841
충청남도 아산시 둔포면 둔포리257-4,36.9281252,127.0398337
충청남도 아산시 둔포면 신남리667-27,36.910317,
충청남도 아산시 둔포면 신법리406-36,36.92471847,127.011139
충청남도 아산시 둔포면 신법리159-8,36.924617,127.013316
충청남도 아산시 둔포면 송용리335-1,,127.020171
충청남도 아산시 둔포면 신항리269-2,36.892613,127.023725
충청남도 아산시 둔포면 신항리232-2,36.89142404,127.0200728
충청남도 아산시 둔포면 둔포리415-12,36.92709395,127.0383124
충청남도 아산시 배방읍 공수리68-27,36.775273,127.060419
충청남도 아산시 배방읍 중리359,36.74845133,127.0395867
충청남도 아산시 배방읍 휴대리67,36.7746098,127.1166105
충청남도 아산시 배방읍 장재리1203,36.79340067,127.0931941
충청남도 아산시 배방읍 갈매리100-4,36.76472671,127.0847733
충청남도 아산시 배방읍 공수리282-4,36.77307166,127.0573506
충청남도 아산시 배방읍 공수리293-1,36.76876346,127.0591059
충청남도 아산시 배방읍 공수리102-24,36.77578853,127.0618445
충청남도 아산시 배방읍 북수리1345,36.77476127,127.0699535
충청남도 아산시 배방읍 북수리1337,36.77369267,127.0711104
충청남도 아산시 배방읍 북수리1073,36.77339716,127.0680873
충청남도 아산시 배방읍 북수리1145,36.77176151,127.0682987
충청남도 아산시 배방읍 북수리1084,36.77290461,127.0666671
충청남도 아산시 배방읍 북수리398-1,36.767576,
충청남도 아산시 선장면 신동리131-11,36.788478,126.863086
충청남도 아산시 신창면 궁화리542-7,36.792243,126.910087
충청남도 아산시 신창면 행목리319-24,36.771143,126.951365
충청남도 아산시 신창면 신곡리 24-8,36.812497,
충청남도 아산시 신창면 남성리 89-3,36.794914,126.962163
충청남도 아산시 배방읍 염성리178,36.808058,126.987594
충청남도 아산시 염치읍 석정리98-17,36.79914347,127.0011793
충청남도 아산시 염치읍 석정리87-19,36.80008514,126.9992997
충청남도 아산시 염치읍 송곡리112-305,36.80111156,127.0141608
충청남도 아산시 염치읍 송곡리 58-3,36.806264,127.018918
충청남도 아산시 염치읍 송곡리192-4,36.807071,127.014796
충청남도 아산시 영인면 구성리936,36.899249,126.957031
충청남도 아산시 영인면 상성리231-7,36.862335,126.943334
충청남도 아산시 영인면 상성리199-1,36.862226,126.943428
충청남도 아산시 온천동 94-10,36.78386727,127.0039994
충청남도 아산시 온천동 260-221,36.784488,126.997036
충청남도 아산시 온천동 468,36.77974473,126.9995015
충청남도 아산시 온천동 77-7,36.77978496,127.0088666
충청남도 아산시 온천동 134-6,36.7798032,127.0051642
충청남도 아산시 온천동 203-11,,126.998758
충청남도 아산시 온천동 199-63,36.78082382,127.0001456
충청남도 아산시 온천동 69-10,36.78117292,127.0045538
충청남도 아산시 온천동 707,36.77813623,127.0016523
충청남도 아산시 권곡동 552-30,36.78517824,127.0071868
충청남도 아산시 권곡동 528-6,36.78964065,127.011752
충청남도 아산시 신동 161-17,36.78019704,127.0345395
충청남도 아산시 모종동 361-23,36.78660076,127.0186394
충청남도 아산시 권곡동 536-48,36.78855257,127.0116153
충청남도 아산시 방축동 118-161,36.781608,126.994011
충청남도 아산시 실옥동 181-147,36.78706834,126.9928607
충청남도 아산시 실옥동 185-15,36.787615,126.990704
충청남도 아산시 용화동 34-55,36.77648712,127.0043659
충청남도 아산시 용화동 1490,36.77121977,127.0097813
충청남도 아산시 용화동 42-3,36.77529987,127.0051135
충청남도 아산시 용화동 1350,36.77309671,127.0030131
충청남도 아산시 용화동 941,36.770972,126.996049
충청남도 아산시 용화동 178-3,36.767112,126.996264
충청남도 아산시 용화동 372-23,36.773906,126.993412
충청남도 아산시 용화동 35-46,36.776429,127.003048
충청남도 아산시 좌부동 140-3,36.75607148,127.0273587
충청남도 아산시 풍기동 269,36.77192147,127.0193807
충청남도 아산시 풍기동 211-6,36.77778808,127.0171614
충청남도 아산시 풍기동 229-76,36.77540712,127.0153714
충청남도 아산시 음봉면 쌍암리210-6,36.884706,127.082153
충청남도 아산시 음봉면 삼거리283-2,36.848326,127.011097
충청남도 아산시 인주면 공세리130-9,36.880332,
충청남도 아산시 인주면 냉정리144-9,36.859142,126.914207
충청남도 아산시 인주면 밀두리296-1,36.87018208,126.8817949
충청남도 아산시 도고면 기곡리317-5,36.76012054,126.884117
충청남도 아산시 도고면 신언리 63-3,36.75684416,126.8765851
